categoria,descripcion,imagen,marca,nombre,precio,sub_categoria,tipo_producto,url
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018215750397/2018215750397_2.jpg,SAMSUNG,SAMSUNG SMART TV UHD 55NU7090 55'',"S/ 2,499",tv-video,tv,https://simple.ripley.com.pe/tv-y-video/televisores/ver-todo-tv?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018224049819/2018224049819_2.jpg,LG,"LG SMART TV FULL HD 49"" 49LK5400","S/ 1,399",tv-video,tv,https://simple.ripley.com.pe/tv-y-video/televisores/ver-todo-tv?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018214464745/2018214464745_2.jpg,SAMSUNG,"SAMSUNG SMART TV UHD 58"" 58NU7100","S/ 3,299",tv-video,tv,https://simple.ripley.com.pe/tv-y-video/televisores/ver-todo-tv?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018211814932/2018211814932_2.jpg,LG,"LG SMART TV UHD 43"" 43UK6300PSB","S/ 1,499",tv-video,tv,https://simple.ripley.com.pe/tv-y-video/televisores/ver-todo-tv?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018217347915/2018217347915_2.jpg,SAMSUNG,SAMSUNG SMART TV UHD 43'' 43NU7090,"S/ 1,599",tv-video,tv,https://simple.ripley.com.pe/tv-y-video/televisores/ver-todo-tv?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP/2018176087655/2018176087655_2.jpg,SONY,"SONY LED 48"" Full HD Smart TV KDL-48W655D LA8","S/ 2,699",tv-video,tv,https://simple.ripley.com.pe/tv-y-video/televisores/ver-todo-tv?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018211814918/2018211814918_2.jpg,LG,"LG SMART TV LED FULL HD 43"" 43LK5700PSC","S/ 1,299",tv-video,tv,https://simple.ripley.com.pe/tv-y-video/televisores/ver-todo-tv?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018215750410/2018215750410_2.jpg,SAMSUNG,SAMSUNG SMART TV UHD 50NU7090 50'',"S/ 1,999",tv-video,tv,https://simple.ripley.com.pe/tv-y-video/televisores/ver-todo-tv?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018211814949/2018211814949_2.jpg,LG,"LG SMART TV UHD 50"" 50UK6300PSB","S/ 2,099",tv-video,tv,https://simple.ripley.com.pe/tv-y-video/televisores/ver-todo-tv?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018212725756/2018212725756_2.jpg,SAMSUNG,"SAMSUNG SMART TV UHD 55"" CURVO 55NU7300","S/ 3,299",tv-video,tv,https://simple.ripley.com.pe/tv-y-video/televisores/ver-todo-tv?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018211814987/2018211814987_2.jpg,LG,"LG SMART TV UHD 55"" 55UK6550PSB","S/ 2,899",tv-video,tv,https://simple.ripley.com.pe/tv-y-video/televisores/ver-todo-tv?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018220410958/2018220410958_2.jpg,AOC,"AOC SMART TV HD 32"" LE32S5285",S/ 799,tv-video,tv,https://simple.ripley.com.pe/tv-y-video/televisores/ver-todo-tv?source=menu
tecnologia,,//home.ripley.com.pe/Attachment/WOP_5/2018212866152/2018212866152_2.jpg,LG,"LG SMART TV HD 32"" LK540BPSA","S/ 1,099",tv-video,tv,https://simple.ripley.com.pe/tv-y-video/televisores/ver-todo-tv?source=menu
